id	smiles	n_confs	NumRotatableBonds	TFD_mean	TFD_max	RMSD_mean	RMSD_max
1	CC#CCOC[C@@H](C)O	30	3	0.433	0.957	1.780	2.707
2	CC[C@@H](O)[C@@H](C)CCO	30	4	0.382	0.795	1.574	2.346
3	CC(=O)[C@H](C=O)[C@@H](C)O	30	3	0.464	0.903	1.820	2.816
4	C[C@@H](CO)[C@@H](O)[C@H]1CN1	30	3	0.415	0.756	1.743	2.911
5	CC(=N)OCCCCO	30	4	0.348	0.653	1.769	2.475
6	C#CC[C@](C)(O)CC=O	30	3	0.463	0.731	1.717	2.773
7	CCC[C@@H](CO)N1CC1	30	4	0.388	0.716	1.504	2.344
8	CCOC(=O)[C@@H](C)N	30	2	0.194	0.413	1.675	2.509
9	CC(C)[C@@H](O)C1(O)CC1	30	2	0.151	0.350	1.840	2.764
10	C[C@H]1CCO[C@H]1CCO	30	2	0.235	0.610	1.387	2.316
11	O=CNC[C@H](O)[C@H]1CO1	30	4	0.447	0.867	1.659	2.632
12	O=CC[C@@H]1CO[C@@H]1CO	30	3	0.355	0.719	1.369	2.009
13	CCc1ccc(CO)[nH]1	30	2	0.242	0.518	1.318	1.949
14	OCC[C@H]1C[C@@H](O)C1	30	2	0.184	0.432	1.395	2.338
15	CC(=O)C[C@@]1(O)C[C@H]1O	30	2	0.424	0.809	1.592	2.428
16	C[C@@H](CO)CCNC=O	30	5	0.428	0.865	1.738	2.788
17	C[C@@H](O)/C=C/[C@@H](C)OO	30	3	0.197	0.385	1.618	2.545
18	N#CCOCCC1CC1	30	4	0.383	0.749	1.814	2.755
19	CCN[C@@H](C#N)C(N)=O	30	3	0.456	0.876	1.629	2.463
20	C[C@@H]1C=CC[C@H](CO)C1	30	1	0.268	0.507	1.273	2.001
21	O[C@H]1C[C@H]1CCC1CC1	30	3	0.330	0.608	1.797	2.677
22	OCC[C@H]1C[C@H]2OC[C@@H]12	30	2	0.446	0.862	1.263	2.024
23	CC[C@@H](COC)N1CC1	30	4	0.364	0.701	1.496	2.489
24	CC(=O)OC1\C=C(C)/CCC2OC2(C)CC3OC(=O)C(=C)C13	30	1	0.217	0.504	2.176	3.765
25	OCC1=CCCCOC1	30	1	0.322	0.600	1.271	1.989
26	C[C@H](C=O)COC=N	30	4	0.375	0.773	1.642	2.580
27	O=CCCC#C[C@H]1CN1	30	2	0.274	0.447	1.645	2.674
