model	mean_d	median_d	ci_lo	ci_hi	perm_pvalue	wilcoxon_pvalue
gpt-6-astra	0.444	0.446	0.099	0.789	0.015	0.018
claude-opus-5	0.380	0.211	0.060	0.700	0.023	0.041
gemini-3.6-flash	0.202	0.328	-0.150	0.554	0.248	0.361
gpt-5.6-sol	0.168	0.387	-0.156	0.492	0.296	0.336
kimi-k3	0.151	0.133	-0.141	0.442	0.296	0.441
claude-sonnet-5	0.143	0.387	-0.183	0.468	0.382	0.397
deepseek-v4-flash-0731	0.101	0.000	-0.221	0.423	0.522	0.620
gemini-3-flash-preview	0.087	0.071	-0.263	0.437	0.609	0.714
qwen3.7-max	0.087	0.164	-0.231	0.404	0.580	0.696
qwen3.8-27b	0.085	0.123	-0.226	0.395	0.573	0.714
muse-glimmer-30b	0.075	0.154	-0.251	0.401	0.636	0.694
gpt-5	0.067	0.399	-0.296	0.430	0.703	0.732
kimi-k2-thinking	0.046	0.219	-0.250	0.343	0.751	0.897
gemma-4-31b	0.039	0.147	-0.274	0.352	0.801	0.750
qwen3.5-27b	-0.036	0.139	-0.323	0.252	0.798	0.804
qwen3.5-plus-20260420	-0.048	-0.064	-0.346	0.250	0.738	0.696
deepseek-v3.2	-0.085	-0.155	-0.399	0.230	0.580	0.594
claude-sonnet-4.5	-0.088	-0.120	-0.367	0.190	0.513	0.578
qwen3.6-27b	-0.107	0.023	-0.369	0.154	0.398	0.485
o4-mini	-0.144	-0.067	-0.415	0.126	0.278	0.313
qwen3.5-35b-a3b	-0.170	-0.215	-0.435	0.096	0.201	0.166
claude-sonnet-4	-0.170	-0.093	-0.438	0.098	0.197	0.258
gemini-2.5-flash	-0.177	-0.182	-0.449	0.095	0.188	0.229
qwen3.6-35b-a3b	-0.192	-0.265	-0.458	0.075	0.143	0.170
qwen2.5-32b	-0.192	-0.143	-0.467	0.083	0.158	0.134
gemma-3-27b	-0.199	-0.252	-0.477	0.079	0.149	0.123
qwen3-32b	-0.208	-0.359	-0.501	0.086	0.154	0.143
deepseek-r1-32b	-0.223	-0.323	-0.478	0.032	0.083	0.077
