model	mean_tau_f2.0	median_tau_f2.0	sd_tau_f2.0	n_molecules
MMFF94	0.934	0.977	0.106	27
GFN-FF	0.715	0.846	0.322	27
gpt-6-astra	0.672	0.797	0.363	27
claude-opus-5	0.608	0.624	0.291	27
gemini-3.6-flash	0.430	0.544	0.366	27
gpt-5.6-sol	0.396	0.467	0.383	27
kimi-k3	0.379	0.390	0.370	27
claude-sonnet-5	0.371	0.440	0.479	27
deepseek-v4-flash-0731	0.329	0.422	0.414	27
gemini-3-flash-preview	0.315	0.379	0.430	27
qwen3.7-max	0.315	0.274	0.328	27
qwen3.8-27b	0.312	0.397	0.358	27
muse-glimmer-30b	0.303	0.291	0.395	27
gpt-5	0.295	0.392	0.506	27
kimi-k2-thinking	0.274	0.293	0.307	27
gemma-4-31b	0.267	0.378	0.407	27
UFF	0.228	0.279	0.619	27
qwen3.5-27b	0.192	0.251	0.341	27
qwen3.5-plus-20260420	0.180	0.216	0.342	27
deepseek-v3.2	0.143	0.137	0.333	27
claude-sonnet-4.5	0.140	0.127	0.301	27
qwen3.6-27b	0.121	0.057	0.245	27
o4-mini	0.084	0.021	0.267	27
qwen3.5-35b-a3b	0.058	0.054	0.157	27
claude-sonnet-4	0.058	0.045	0.187	27
gemini-2.5-flash	0.051	0.026	0.155	27
qwen3.6-35b-a3b	0.036	0.053	0.210	27
gemma-3-27b	0.029	0.020	0.194	27
deepseek-r1-32b	0.005	-0.005	0.122	27
qwen3-32b	0.001	0.004	0.190	26
qwen2.5-32b	0.000	-0.022	0.154	25
